FID,SCD,STR_NAME,BEZLISTE
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1761,20874,Grünanlage Große Sperlgasse,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1760,21167,Jugend-Point SEA,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175f,21168,P7-Bettenbörse,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175e,21170,Zentrale der Musikschule,8
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175d,21169,Rauchfangkehrer-Museum,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175c,21027,Pflegekinderzentrum Floridsdorf,21
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175b,21171,Magistratisches Bezirksamt 1.u.8.Bezirk,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-175a,01747,Am Augartenspitz,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1759,21172,Expositur Leopoldstadt,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1758,21173,Magistratisches Bezirksamt 3.Bezirk,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1757,21174,Magistratisches Bezirksamt 4.u.5.Bezirk,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1756,21175,Magistratisches Bezirksamt 6.u.7.Bezirk,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1755,21176,Expositur Alsergrund,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1754,21177,Magistratisches Bezirksamt 10.Bezirk,10
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1753,21178,Magistratisches Bezirksamt 11.Bezirk,11
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1752,21179,Magistratisches Bezirksamt 12.Bezirk,12
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1751,21180,Magistratisches Bezirksamt 13.u.14.Bezirk,13
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1750,21181,Magistratisches Bezirksamt 15.Bezirk,15
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174f,21160,Römermuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174e,21182,Magistratisches Bezirksamt 16.Bezirk,16
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174d,21183,Magistratisches Bezirksamt 9./17.Bezirk,17
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174c,21184,Magistratisches Bezirksamt 18.Bezirk,18
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174b,21185,Magistratisches Bezirksamt 19.Bezirk,19
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-174a,21186,Magistratisches Bezirksamt 2./20.Bezirk,20
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1749,21187,Magistratisches Bezirksamt 21.Bezirk,21
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1748,21188,Magistratisches Bezirksamt 22.Bezirk,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1747,21189,Magistratisches Bezirksamt 23.Bezirk,23
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1746,21190,Austro Control,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1745,01790,Helene-Bauer-Platz,6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1744,21191,Augustinerkirche,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1743,01875,Tausigplatz,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1742,21192,Karlskirche,4
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1741,21193,Kirche am Steinhof,14
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1740,21194,Michaelerkirche,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173f,21195,Stephansdom,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173e,21196,Votivkirche,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173d,21199,Islamisches Zentrum,21
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173c,21197,Wotrubakirche,23
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173b,21198,Synagoge,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-173a,21206,Oberes Belvedere,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1739,21207,Unteres Belvedere,3
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1738,21208,Künstlerhaus,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1737,21209,Riesenrad,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1736,21210,Planetarium,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1735,21211,Albertina,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1734,21212,Haus der Musik,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1733,21213,"Haus des Meeres ""AQUA TERRA ZOO""",6
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1732,21214,Kaisergruft (Kapuzinergruft),1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1731,21215,Kunsthistorisches Museum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1730,21216,Naturhistorisches Museum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-172f,21217,Leopold Museum,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-172e,21218,Liechtenstein Museum,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-172d,21219,Sisi Museum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-172c,21220,Donaufähre,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1729,21221,Otto Wagner Pavillon,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1728,21222,Technisches Museum,14
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1727,21223,Sigmund Freud Museum,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1726,21224,Österreichische Nationalbibliothek,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1725,21225,MAK-Musem für angewandte Kunst,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1724,21226,"Mozarthaus Vienna ""Figarohaus""",1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1723,21227,MUMOK Museum Moderner Kunst,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1722,21228,Wagenburg Schönbrunn,13
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1721,21229,Secession,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1720,21230,Kaiserliche Schatzkammer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171f,21231,Geistliche Schatzkammer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171e,21232,Wagner: Werk Museum Postsparkasse,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171d,21233,Feuerwehrmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171c,21234,Österreichisches Filmmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171b,10877,Judith-Deutsch-Steg,2
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-171a,23000,Volkstheater,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1719,23001,Volksoper,9
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1718,01995,Zaha-Hadid-Platz,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1713,21235,Ausgrabungen Michaelerplatz,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-170f,21236,Uhrenmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-170c,21237,Alte Schmiede,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-170a,21238,Österreichisches Volksliedwerk,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1708,21239,MOYA-Museum Of Young Art,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1701,21240,Kaffeemuseum,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-1700,21241,Österreichisches Gesellschafts- und Wirtschaftsmuseum,5
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f8,21242,Schmetterlinghaus,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f7,21243,Staatsopernmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f5,06728,Nelson-Mandela-Platz,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f3,05647,Barbara-Prammer-Allee,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f2,05803,Ilse-Buck-Straße,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16f0,06729,Anna-Plischke-Platz,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ef,05649,Emmi-Pikler-Straße,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ec,05692,Maxie-Wander-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16eb,21244,Looshaus,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ea,06731,Ilse-Aichinger-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e9,21245,Spanische Hofreitschule,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e8,05706,Antonia-Bruha-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e7,21246,Silberkammer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e6,21247,Kaiserappartements,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e4,21248,Papyrusmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e3,21249,Flugblätter-Plakate und Exlibris-Sammlung,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e2,06733,Karoline-Perin-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e1,21250,Hofjagd- und Rüstkammer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16e0,05712,Doris-Lessing-Allee,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16df,21251,Ephesos Museum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16de,21252,Sammlung alter Musikinstrumente,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16dd,21253,Weltmuseum Wien,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16dc,06734,Maria-Merian-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16db,06735,Lilly-Dillenz-Straße,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16da,21254,Globenmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d9,21255,Esperantomuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d8,21256,Kartensammlung,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d7,06736,Franziska-Seidl-Straße,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d6,05719,Seestadtpromenade,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d5,21257,Ankeruhr,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d4,06737,Mela-Köhler-Straße,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d3,05806,Eileen-Gray-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d2,21258,Museumsbibliothek,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16d0,05748,Käthe-Recheis-Gasse,22
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16cf,21259,Kunstkammer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ce,21260,"""Wiener Werkstätte""-Museum",1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16cd,21261,Designforum,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16cc,21262,quartier21,7
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16cb,21263,Mozartwohnung,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ca,21264,Palais Epstein,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c9,21265,Artothek (Bildleihstelle),1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c8,21266,Time Travel Vienna,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c7,21267,Beethoven Pasqualatihaus,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c6,21268,Museum im Schottenstift,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c5,21269,Archiv der Universität Wien,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c4,21270,Haus der Musik-Das Klangmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c3,21271,Grillparzer-Gedenkzimmer,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c2,21272,Erstes Wiener Glasmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c1,21273,Wiener Hofmusikkapelle (Hofburgkapelle),1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16c0,21274,"Akademie der bildenden Künste, Gemäldegalerie",1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16bf,21275,K.u.K. Hofzuckerbäckerei Demel,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16be,21276,Österreichisches Theatermuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16bd,21277,Angewandte Innovation Laboratory,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16bc,21278,Bank Austria Kunstforum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16bb,21279,Wienbibliothek im Rathaus,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16ba,21280,Schatzkammer des Deutschen Ordens,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b9,21281,Dom-und Diözesanmuseum,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b8,21282,Virgilkapelle,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b7,21283,Neidhart-Fresken,1
GEONAMENSVERZOGD.fid--35872b4c_16fe3bd3fa5_-16b6,21284,Urania-Sternwarte,1
